Gene	Alias
CYB5D2	MGC32124
CALCOCO1	Cocoa,KIAA1536,calphoglin
PCTP	STARD2
ATG2A	KIAA0404
RARA	RAR,NR1B1
CABIN1	KIAA0330,PPP3IN
NUP85	FLJ12549,NUP75
PLRG1	PRPF46,PRL1,Prp46,Cwc1,TANGO4
C11orf88	HOATZ
SPEF1	CLAMP,C20orf28,SPEF1A,DKFZP434I114
COLGALT1	GLT25D1,FLJ22329
SCML4	dJ47M23.1
DNER	bet,UNQ26
CCDC125	KENAE
PIK3CA	PI3K
EPT1	SELENOI
CNTN3	PANG,BIG-1
CEP78	C9orf81,FLJ12643
VAX2	DRES93
ACOT13	HT012,THEM2
HIST2H2AB	H2AC21
SERPINA6	CBG
PCDHGA2	PCDH-GAMMA-A2
CCDC178	FLJ44050,C18orf34
EIF2A	EIF-2A
RNF34	FLJ21786,RIF,RIFF
TMEM14B	MGC1223
FGF13	FGF2,LINC00889,FHF2,FLJ30672
CRTC2	TORC2
ANGPT1	KIAA0003,Ang1
MARCH9	MARCHF9
LAMC2	nicein-100kDa,EBR2,BM600-100kDa,LAMNB2,EBR2A,kalinin-105kDa,LAMB2T
BHLHE22	TNRC20,CAGL85,BHLHB5,Beta3
MTUS2	TIP150,CAZIP,ICIS,KIAA0774
TDO2	TDO,TPH2
ZCWPW2	ZCW2
RGS9	RGS9L,MGC26458,MGC111763,PERRS
XRCC5	Ku86,KARP-1,KU80,KUB2
AGBL1	CCP4,FLJ32310
SLC25A52	MCART2
PITPNM2	RDGB2,RDGBA2,NIR3
TMEM140	FLJ11000
EFR3B	KIAA0953,FLJ37871
MST1	MSP,DNF15S2,D3F15S2,NF15S2,HGFL
SRRM2	Cwc21,KIAA0324,SRL300,SRm300
MTMR3	KIAA0371,ZFYVE10,FYVE-DSP1
SLC6A20	Xtrp3,IMINO,XT3,SIT1
C19orf10	MYDGF,IL27w,IL27
SNIP1	PML1
NACA	NACA1
FBXO28	Fbx28,CENP-30,FLJ10766,KIAA0483
TFRC	p90,CD71,TFR1
KCNJ18	TTPP2,KIR2.6
TTC12	FLJ13859,TPARM,FLJ20535
MUC5B	MG1,MUC5
LUZP4	CT-8,CT28,HOM-TES-85
PBX2	G17,PBX2MHC,HOX12
CHPT1	CPT1
DERL1	FLJ13784,DER1,derlin-1,MGC3067,DER-1,PRO2577
TTC18	CFAP70
ELF3	ESX,ERT,EPR-1,ESE-1
RTFDC1	C20orf43,RTF2
TTC3	TPRDII,DCRR1,RNF105,TPRDI,TPRD,TPRDIII
CCL17	ABCD-2,TARC,SCYA17
BHLHA15	BHLHB8,MIST1
PJA2	RNF131,Neurodap1,KIAA0438
ARHGEF12	LARG,KIAA0382
TMCC1	KIAA0779
TAS2R30	T2R30,TAS2R47
PCMTD2	FLJ10883,C20orf36
LZTFL1	BBS17
CCDC112	MGC39633
PET100	C19orf79
BANP	BEND1,SMAR1,DKFZp761H172,FLJ10177,SMARBP1,FLJ20538
TET3	MGC22014,hCG_40738
PLCB1	PLC-I,KIAA0581,PLC154
NOV	CCN3
LRRC49	FLJ20156
SPECC1	NSP,HCMOGT-1,FLJ36955,CYTSB
MALSU1	C7orf30,mtRsfA
POLR2D	RPB4
TMEM206	PACC1,C1orf75
KIAA1468	RELCH
HOMEZ	KIAA1443
ERCC5	XPGC,ERCM2
MCM3AP	KIAA0572,SAC3,GANP,Map80
NMRK1	C9orf95,NRK1,FLJ20559,bA235O14.2
GALNT4	GalNAc-T4
TGS1	NCOA6IP,PIMT
BDKRB2	BK-2
DDR1	NEP,PTK3A,NTRK4,CD167,EDDR1,CAK,RTK6
LACC1	FLJ38725,C13orf31,FAMIN
